1301.686035
14.004934,4.192481,-0.722066,1.604732,3.605655,1.466937,3.738622,0,0.641856
21.884571,-0.386298,-0.712533,1.711062,3.500139,1.425440,4.723691,0,0.634939
9.859246,-4.090816,-0.987831,1.565504,3.835952,1.460896,4.688663,0,0.587004
15.053785,-4.062760,-0.929701,1.572318,3.713718,1.443371,4.721751,0,0.586915
20.429729,-4.234359,-0.583033,1.705768,4.001152,1.824529,4.673670,0,0.558275
17.469528,8.027242,-0.588793,1.530412,3.270867,1.503152,1.775014,0,0.543203
12.095512,7.961706,-0.653207,1.694903,3.905563,1.480463,1.694005,0,0.516713
35.832142,-0.514134,-0.398939,1.696698,3.747323,1.571292,4.752490,0,0.375043
22.094513,4.647481,-0.563421,1.500328,3.534407,1.416407,3.895982,0,0.289177
25.144650,4.445106,-0.492488,1.547290,3.639019,1.461603,3.864886,0,0.287921
32.092953,-9.643384,-0.552060,1.634815,3.863455,1.622346,-0.091300,0,0.231870
17.580210,14.026302,-0.487027,1.567783,3.516427,1.428516,1.519634,0,0.192840
